"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CG31974",0,0,0,0,0,0.272857,0,0.727143,"Low_signal","Open_promoters"
"CG11454",0,0,0,0,0,0.0575,0,0.9425,"Low_signal","Low_signal"
"CG42399",0,0,0,0,0.714286,0,0,0.285714,"HP1","HP1"
"CG3709",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG3436",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG33635",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"spen",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"mRpL10",0,0,0,0,0,0.4475,0,0.5525,"Low_signal","Open_promoters"
"Tbc1d15-17",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11617",0,0,0,0,0,0.281429,0,0.718571,"Low_signal","Open_promoters"
"lncRNA:CR44220",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44222",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR44221",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"snoRNA:kis-a",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG13693",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"mir-965",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44218",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"kis",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Rpp30",0,0,0,0,0,0.181429,0,0.818571,"Low_signal","Low_signal"
"lncRNA:CR44219",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17075",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3345",0,0,0,0,0.97,0,0,0.03,"HP1","HP1"
"CG3645",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"mbm",0,0,0,0,0,0.55,0,0.45,"Open_promoters","Open_promoters"
"CG11555",0,0,0,0,0,0.91,0,0.09,"Open_promoters","Open_promoters"
"smo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17078",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG11601",0,0,0.384286,0,0,0.615714,0,0,"Open_promoters","Open_promoters"
"asRNA:CR46262",0,0,0.7325,0,0,0,0,0.2675,"Gene_body_2","Gene_body_2"
"asRNA:CR46263",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Amnionless",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3625",0,0,0,0,0,0.435714,0,0.564286,"Low_signal","Open_promoters"
"CG11562",0,0,0,0,0,0.0475,0,0.9525,"Low_signal","Low_signal"
"U2af38",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Stip1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pi3K21B",0,0,0,0,0,0.95,0,0.05,"Open_promoters","Open_promoters"
"Plc21C",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43719",0.217143,0,0,0,0,0,0,0.782857,"Low_signal","Low_signal"
"CG11912",0,0,0,1,0,0,0,0,"H1","H1"
"CG11911",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33127",0.0025,0,0,0,0,0,0,0.9975,"Low_signal","Low_signal"
"CG43755",0,0,0,0.801429,0.198571,0,0,0,"H1","H1"
"CG31921",0,0,0,0.378571,0,0,0,0.621429,"Low_signal","H1"
"asRNA:CR45367",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR45366",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Ent1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"al",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR43718",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4213",0,0,0,0.431429,0,0,0,0.568571,"Low_signal","H1"
"Polr1B",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"AP-2alpha",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"ebi",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG13690",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"RpLP1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11885",0.642857,0,0,0,0,0,0,0.357143,"Enhancers","Enhancers"
"CG13692",0.9275,0,0,0,0,0,0,0.0725,"Enhancers","Enhancers"
"BBS8",0.3175,0,0,0,0,0,0,0.6825,"Low_signal","Enhancers"
"ex",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43717",0,0,0,1,0,0,0,0,"H1","H1"
"shv",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"crq",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CR43080",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4133",0,0,0,0,0,0.5775,0,0.4225,"Open_promoters","Open_promoters"
"CG4297",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"MED15",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ush",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"cbt",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR46258",0,0,0,0,0,0.3375,0,0.6625,"Low_signal","Open_promoters"
"lncRNA:CR46259",0,0,0,0.765714,0,0,0,0.234286,"H1","H1"
"lwr",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Spp",0,0,0.067143,0,0,0,0,0.932857,"Low_signal","Low_signal"
"nAChRbeta3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Ets21C",0,0,0,0,0,0,1,0,"Pc","Pc"
"Tspo",0,0,0,0,0,0,1,0,"Pc","Pc"
"rempA",0,0,0,0,0,0.414286,0,0.585714,"Low_signal","Open_promoters"
"CG11835",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG2794",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nle",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Sf3b1",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"cold",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Ipk2",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Ptth",0,0,0,0,0,0,1,0,"Pc","Pc"
"Pph13",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR46148",0,0,0,0,0,0,1,0,"Pc","Pc"
"Gsc",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG13689",0,0,0,0,0,0.5325,0,0.4675,"Open_promoters","Open_promoters"
"lncRNA:CR43648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43649",0,0,0,0.048571,0,0,0.094286,0.857143,"Low_signal","Low_signal"
"lectin-21Cb",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44797",0,0,0,0.7325,0,0,0,0.2675,"H1","H1"
"lncRNA:CR44798",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lectin-21Ca",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG2839",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45369",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44988",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ds",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR46260",0,0,0,0.667143,0,0,0,0.332857,"H1","H1"
"Hsp60B",0,0,0,1,0,0,0,0,"H1","H1"
"Eaat2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"GABA-B-R3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44614",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12506",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13946",0,0,0,0.59,0,0,0,0.41,"H1","H1"
"CG13947",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr21a",0.705,0,0,0,0,0,0,0.295,"Enhancers","Enhancers"
"CG3544",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pkg21D",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45259",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nnf1b",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Dbp21E2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pex12",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Saf6",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG15880",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"PGAP2",0,0,0,0,0,0.417143,0,0.582857,"Low_signal","Open_promoters"
"Clp",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3662",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG3862",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"dock",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lncRNA:CR44060",0,0,0,0,0,0.995,0,0.005,"Open_promoters","Open_promoters"
"drongo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"kraken",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4291",0,0,0,0,0,0.528571,0,0.471429,"Open_promoters","Open_promoters"
"CG13949",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45345",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"mir-375",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG13950",0,0,0,1,0,0,0,0,"H1","H1"
"snoRNA:Me28S-U1230",0,0,0,1,0,0,0,0,"H1","H1"
"aru",0,0,0,0,0.428571,0.077143,0,0.494286,"Low_signal","HP1"
"dbe",0,0,0,0,0,0.49,0,0.51,"Low_signal","Open_promoters"
"PNUTS",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ninaA",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG15824",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45348",0.5,0,0,0,0,0,0,0.5,"Enhancers","Enhancers"
"Lsp1beta",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"snRNA:U1:21D",0.077143,0,0,0,0,0,0,0.922857,"Low_signal","Low_signal"
"scaRNA:MeU1:95C-A24",0.688571,0,0,0,0,0,0,0.311429,"Enhancers","Enhancers"
"lncRNA:CR45261",0.5725,0,0,0,0,0,0,0.4275,"Enhancers","Enhancers"
"lncRNA:CR44061",0,0,0,0,0,0,0.864286,0.135714,"Pc","Pc"
"GluRIIC",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG4341",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44801",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR46486",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4375",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4415",0,0,0,0,1,0,0,0,"HP1","HP1"
"IA-2",0,0,0,0,0,0.067143,0,0.932857,"Low_signal","Low_signal"
"S",0,0,0,0,0,0.592857,0,0.407143,"Open_promoters","Open_promoters"
"ast",0,0,0,0,0,0.37,0,0.63,"Low_signal","Open_promoters"
"Atg4a",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4629",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"PolrMT",0,0,0,0,0,0.038571,0,0.961429,"Low_signal","Low_signal"
"CG14339",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14340",0,0.1025,0,0.8975,0,0,0,0,"H1","H1"
"Pino",0,0,0,0,0,0.361429,0,0.638571,"Low_signal","Open_promoters"
"TBC1D23",0,0,0,0,0,0.54,0,0.46,"Open_promoters","Open_promoters"
"Iris",0.425714,0,0,0.145714,0,0,0,0.428571,"Low_signal","Enhancers"
"CG4577",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR45717",0.6725,0,0,0,0,0,0,0.3275,"Enhancers","Enhancers"
"MFS3",0.9975,0,0,0,0,0.0025,0,0,"Enhancers","Enhancers"
"l(2)10685",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Vps29",0,0,0,0,0,0.915,0,0.085,"Open_promoters","Open_promoters"
"Tfb4",0,0,0.11,0,0,0.857143,0,0.032857,"Open_promoters","Open_promoters"
"capt",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Tango14",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"asRNA:CR43767",0,0.078571,0,0,0,0.064286,0,0.857143,"Low_signal","Low_signal"
"CG5080",0,0,0,0.448571,0,0,0,0.551429,"Low_signal","H1"
"IntS14",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14341",0,0,0,0,0,0.515,0,0.485,"Open_promoters","Open_promoters"
"CG31922",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Plap",0,0,0,0,0,0.807143,0,0.192857,"Open_promoters","Open_promoters"
"Charon",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4887",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4896",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Tgt",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG5126",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG5001",0.6425,0.3575,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG5139",0,0,0,0.048571,0,0,0,0.951429,"Low_signal","Low_signal"
"CG43348",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43349",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5011",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14342",0.2875,0,0,0,0,0,0,0.7125,"Low_signal","Enhancers"
"lncRNA:CR45346",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR43263",0,0,0,0,0,0,0.407143,0.592857,"Low_signal","Pc"
"CG42329",0,0,0,1,0,0,0,0,"H1","H1"
"CG5397",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"robo3",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"a5",0,0,0,1,0,0,0,0,"H1","H1"
"CG5440",0,0,0,0.32,0,0,0,0.68,"Low_signal","H1"
"CG33923",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33922",0,0,0,0,0,0,0.958571,0.041429,"Pc","Pc"
"Cdlc2",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR45005",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45006",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5556",0,0,0,0,0.525714,0,0,0.474286,"HP1","HP1"
"CG5561",0,0,0,1,0,0,0,0,"H1","H1"
"CG31924",0,0,0,1,0,0,0,0,"H1","H1"
"CG5565",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31659",0,0,0,0.128571,0,0,0,0.871429,"Low_signal","Low_signal"
"NLaz",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14346",0,0,0,0.99,0,0,0,0.01,"H1","H1"
"asRNA:CR44897",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44898",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"robo2",0,0,0,0,0,0.352857,0.218571,0.428571,"Low_signal","Open_promoters"
"CG43401",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43402",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31928",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33128",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31926",0,0,0,0.85,0,0,0,0.15,"H1","H1"
"CG31661",0,0,0,1,0,0,0,0,"H1","H1"
"CG18131",0,0.297143,0,0,0,0,0,0.702857,"Low_signal","Gene_body_1"
"asRNA:CR44064",0,0.075,0,0,0,0,0,0.925,"Low_signal","Low_signal"
"CG7420",0,0,0,0,0,0.422857,0,0.577143,"Low_signal","Open_promoters"
"CG18132",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"halo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Or22a",0,0,0,1,0,0,0,0,"H1","H1"
"Or22b",0,0,0,0.7425,0,0,0,0.2575,"H1","H1"
"haf",0,0,0,0,0,0.0725,0,0.9275,"Low_signal","Low_signal"
"nis",0,0,0,0.507143,0,0,0,0.492857,"H1","H1"
"Rab3GAP1",0,0,0,0,0,0.51,0,0.49,"Open_promoters","Open_promoters"
"CG14352",0,0,0,0,0,0.525,0,0.475,"Open_promoters","Open_promoters"
"RFeSP",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lncRNA:CR44603",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45695",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"chinmo",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"cpb",0,0,0,0,0,0.255,0,0.745,"Low_signal","Open_promoters"
"asRNA:CR44976",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"mRpL48",0,0,0,0,0,0.655,0,0.345,"Open_promoters","Open_promoters"
"CG17660",0,0,0,0,0,0.857143,0,0.142857,"Open_promoters","Open_promoters"
"frtz",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Rim2",0.697143,0,0,0,0,0.302857,0,0,"Enhancers","Enhancers"
"Rrp40",0,0,0.58,0,0,0.42,0,0,"Gene_body_2","Gene_body_2"
"Eno",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG31937",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG17652",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG17646",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG17712",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22f",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG17650",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22e",0,0,0,0.75,0,0,0.155,0.095,"H1","H1"
"Gr22d",0,0,0,1,0,0,0,0,"H1","H1"
"Gr22c",0,0,0,0.175714,0,0,0,0.824286,"Low_signal","Low_signal"
"Gr22b",0,0,0,1,0,0,0,0,"H1","H1"
"Gr22a",0,0,0,1,0,0,0,0,"H1","H1"
"CG31933",0,0,0,0.812857,0.187143,0,0,0,"H1","H1"
"CG31664",0,0,0,0.142857,0,0,0,0.857143,"Low_signal","Low_signal"
"mir-2280",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"c-cup",0.478571,0,0,0,0,0,0,0.521429,"Low_signal","Enhancers"
"wry",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44073",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lncRNA:CR44074",0,0,0,0,0,0.274286,0,0.725714,"Low_signal","Open_promoters"
"CG7295",0,0,0,0,0.0075,0,0,0.9925,"Low_signal","Low_signal"
"lncRNA:CR44075",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31663",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15358",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Wdr62",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gly-GCC-1-1",0,0,0,0,0,0,0.941429,0.058571,"Pc","Pc"
"CG15357",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG33673",0,0,0,0,0,0,1,0,"Pc","Pc"
"tRNA:Arg-TCT-2-1",0,0,0,0,0,0,1,0,"Pc","Pc"
"erm",0,0,0,0,0,0,1,0,"Pc","Pc"
"Der-1",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG15356",0,0,0,0,0.078571,0.921429,0,0,"Open_promoters","Open_promoters"
"CG15362",0,0,0,0,0.19,0.81,0,0,"Open_promoters","Open_promoters"
"CG7289",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Got2",0,0,0,0,0,0.345714,0,0.654286,"Low_signal","Open_promoters"
"Npc2a",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR42874",0,0,0,0,1,0,0,0,"HP1","HP1"
"Obp22a",0,0,0,0.485714,0,0,0,0.514286,"Low_signal","H1"
"asRNA:CR43464",0.145,0,0,0,0,0,0,0.855,"Low_signal","Low_signal"
"CG33543",0,0,0,0,0,0.41,0,0.59,"Low_signal","Open_promoters"
"asRNA:CR45712",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15353",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nplp4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4238",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-3-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-5",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"snoRNA:Or-CD14",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gly-GCC-1-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG42296",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lectin-22C",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Su(dx)",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45298",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Kebab",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"Or22c",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12674",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44808",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44055",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"dpr3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4259",0,0,0,0.518571,0,0,0,0.481429,"H1","H1"
"GlyP",0,0,0,0,0,0.0325,0,0.9675,"Low_signal","Low_signal"
"tho2",0,0,0,0,0,0.447143,0,0.552857,"Low_signal","Open_promoters"
"CG11723",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"TBCD",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"AIF",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15382",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"aop",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43751",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Arg-TCT-3-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44066",0.385714,0,0,0,0,0,0,0.614286,"Low_signal","Enhancers"
"lncRNA:CR45290",0.278571,0,0,0,0,0,0,0.721429,"Low_signal","Enhancers"
"asRNA:CR44065",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG10874",0,0,0,0,0,0.305714,0,0.694286,"Low_signal","Open_promoters"
"COX7AL2",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG31668",0,0,0,0.334286,0,0,0.665714,0,"Pc","Pc"
"CG33124",0,0,0,0.145714,0,0,0.425714,0.428571,"Low_signal","Pc"
"CG15385",0,0,0,0,0.387143,0,0,0.612857,"Low_signal","HP1"
"CG34174",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Uch",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"daed",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"mio",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG15386",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG42371",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"papi",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"sau",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15387",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR44114",0,0,0,0,0,0.565714,0,0.434286,"Open_promoters","Open_promoters"
"asRNA:CR44115",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Sec24CD",0,0,0,0,0.348571,0,0,0.651429,"Low_signal","HP1"
"Tengl3",0,0,0,0,1,0,0,0,"HP1","HP1"
"Tengl2",0,0,0,0.12,0.022857,0,0,0.857143,"Low_signal","Low_signal"
"Tengl1",0.132857,0,0,0.438571,0,0,0,0.428571,"H1","H1"
"CG4267",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR42859",0,0,0,0.325,0,0,0,0.675,"Low_signal","H1"
"Ser12",0,0,0,0,1,0,0,0,"HP1","HP1"
