"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"Stip1",0,0,0.128921,0,0,0.515685,0,0.355393,"Open_promoters","Open_promoters"
"Pi3K21B",0,0.203998,0.367197,0,0,0.122399,0,0.306406,"Gene_body_2","Gene_body_2"
"Plc21C",0.278052,0.07858,0.061776,0.07858,0,0,0,0.503012,"Low_signal","Enhancers"
"lncRNA:CR43719",0.940814,0,0,0,0,0,0,0.059186,"Enhancers","Enhancers"
"CG11912",0.934225,0,0,0.065775,0,0,0,0,"Enhancers","Enhancers"
"CG11911",0,0,0,1,0,0,0,0,"H1","H1"
"CG33127",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG43755",0.283086,0,0,0.226704,0,0,0,0.49021,"Low_signal","Enhancers"
"CG31921",0.715464,0,0,0.284536,0,0,0,0,"Enhancers","Enhancers"
"Ent1",0,0,0.621481,0,0,0,0,0.378519,"Gene_body_2","Gene_body_2"
"asRNA:CR45367",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR45366",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"al",0,0,0,0.160823,0,0,0.213145,0.626032,"Low_signal","Pc"
"lncRNA:CR43718",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4213",0.303052,0,0,0.267714,0,0,0,0.429234,"Low_signal","Enhancers"
"Polr1B",0,0.724484,0.081433,0,0,0.162866,0,0.031216,"Gene_body_1","Gene_body_1"
"AP-2alpha",0,0.17341,0.444642,0,0,0.133393,0,0.248555,"Gene_body_2","Gene_body_2"
"ebi",0,0,0.08648,0,0,0.481118,0,0.432401,"Open_promoters","Open_promoters"
"CG13690",0,0,0,0,0,0.945813,0,0.054187,"Open_promoters","Open_promoters"
"RpLP1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11885",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13692",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"BBS8",0,0,0,0.367647,0,0,0,0.632353,"Low_signal","H1"
"ex",0.171684,0.188852,0.097345,0.10301,0,0.044237,0,0.394872,"Low_signal","Gene_body_1"
"lncRNA:CR43717",0.461947,0,0,0,0,0,0,0.538053,"Low_signal","Enhancers"
"crq",0,0.125786,0.680503,0,0,0.193711,0,0,"Gene_body_2","Gene_body_2"
"shv",0,0,0,0,0,0.706339,0,0.293661,"Open_promoters","Open_promoters"
"CR43080",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4133",0,0,0.186683,0,0,0.332607,0,0.480709,"Low_signal","Open_promoters"
"CG4297",0.15761,0,0,0.315221,0.045032,0,0,0.482137,"Low_signal","H1"
"MED15",0,0.285081,0.592334,0,0,0,0,0.122585,"Gene_body_2","Gene_body_2"
"ush",0.177184,0.027976,0.00746,0.037302,0,0,0.191172,0.558906,"Low_signal","Pc"
"cbt",0,0.541024,0,0,0,0,0,0.458976,"Gene_body_1","Gene_body_1"
"lncRNA:CR46258",0.476847,0,0,0,0,0,0.496141,0.027012,"Pc","Pc"
"lncRNA:CR46259",0,0,0,0,0,0,0.559795,0.440205,"Pc","Pc"
"lwr",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Spp",0,0,0,0,0,0.724692,0,0.275308,"Open_promoters","Open_promoters"
"Ets21C",0.037509,0.002876,0,0,0,0,0.787697,0.171918,"Pc","Pc"
"nAChRbeta3",0,0,0,0,0,0,0.610066,0.389934,"Pc","Pc"
"rempA",0,0.556943,0.091352,0,0,0.137028,0,0.214677,"Gene_body_1","Gene_body_1"
"Tspo",0,0,0,0,0,0.535675,0,0.464325,"Open_promoters","Open_promoters"
"CG11835",0,0,0,0.276838,0,0,0,0.723162,"Low_signal","H1"
"CG2794",0,0.389779,0.291035,0,0,0.319186,0,0,"Gene_body_1","Gene_body_1"
"Nle",0,0,0.361254,0,0,0.638746,0,0,"Open_promoters","Open_promoters"
"Sf3b1",0,0.525509,0.30808,0,0,0.166411,0,0,"Gene_body_1","Gene_body_1"
"Ipk2",0,0,0.216897,0,0,0.783103,0,0,"Open_promoters","Open_promoters"
"cold",0,0,0,0,0,0.768538,0,0.231462,"Open_promoters","Open_promoters"
"Ptth",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pph13",0,0,0,0,0,0,1,0,"Pc","Pc"
"Gsc",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR46148",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG13689",0,0,0,0,0,0.486704,0,0.513296,"Low_signal","Open_promoters"
"lncRNA:CR43648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43649",0,0,0,0.924433,0,0,0.075567,0,"H1","H1"
"lectin-21Cb",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44797",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44798",0,0,0,0.236407,0,0,0,0.763593,"Low_signal","Low_signal"
"lectin-21Ca",0,0,0,0.059638,0,0,0,0.940362,"Low_signal","Low_signal"
"CG2839",0,0,0,0.293564,0,0,0,0.706436,"Low_signal","H1"
"lncRNA:CR45369",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ds",0.052021,0.02401,0,0.278605,0,0,0.056022,0.589342,"Low_signal","H1"
"lncRNA:CR44988",0.253218,0,0,0,0,0,0,0.746782,"Low_signal","Enhancers"
"lncRNA:CR46260",0.210674,0,0,0.777739,0,0,0,0.011587,"H1","H1"
"Hsp60B",0,0,0,0.834696,0,0,0,0.165304,"H1","H1"
"Eaat2",0.527356,0,0,0,0,0,0,0.472644,"Enhancers","Enhancers"
"GABA-B-R3",0.200658,0.096355,0,0.048177,0,0.072266,0,0.582544,"Low_signal","Enhancers"
"lncRNA:CR44614",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12506",0,0,0,1,0,0,0,0,"H1","H1"
"CG13946",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG13947",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr21a",0.62422,0,0,0.326675,0,0,0,0.049105,"Enhancers","Enhancers"
"CG3544",0,0,0,0.915315,0,0,0,0.084685,"H1","H1"
"Pkg21D",0.258342,0,0,0.483746,0,0,0,0.257912,"H1","H1"
"lncRNA:CR45259",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nnf1b",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Dbp21E2",0,0,0.211581,0,0,0,0,0.788419,"Low_signal","Low_signal"
"Saf6",0,0.341426,0.336115,0,0,0.322458,0,0,"Gene_body_1","Gene_body_1"
"Pex12",0,0,0.711365,0,0,0.288635,0,0,"Gene_body_2","Gene_body_2"
"CG15880",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"PGAP2",0,0,0.43457,0,0,0.56543,0,0,"Open_promoters","Open_promoters"
"Clp",0,0,0.328514,0,0,0.481928,0,0.189558,"Open_promoters","Open_promoters"
"CG3662",0,0,0.134843,0,0,0,0,0.865157,"Low_signal","Low_signal"
"CG3862",0,0,0,0,0,0.366188,0,0.633812,"Low_signal","Open_promoters"
"dock",0.453795,0,0.412541,0,0,0.07302,0,0.060644,"Enhancers","Enhancers"
"drongo",0.223023,0.034311,0.051467,0.034311,0,0.068622,0,0.588266,"Low_signal","Enhancers"
"lncRNA:CR44060",0,0,0,0,0,0.212581,0,0.787419,"Low_signal","Low_signal"
"CG4291",0,0,0,0,0,0.696416,0,0.303584,"Open_promoters","Open_promoters"
"kraken",0,0,0.586674,0,0,0.074534,0,0.338792,"Gene_body_2","Gene_body_2"
"CG13949",0.567588,0,0,0,0,0,0,0.432412,"Enhancers","Enhancers"
"lncRNA:CR45345",0.671525,0,0,0.216368,0,0,0,0.112108,"Enhancers","Enhancers"
"mir-375",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG13950",0,0,0,1,0,0,0,0,"H1","H1"
"aru",0.023674,0.138355,0,0.469024,0,0,0,0.368947,"H1","H1"
"snoRNA:Me28S-U1230",0,0,0,1,0,0,0,0,"H1","H1"
"dbe",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"PNUTS",0,0.091283,0.659973,0,0,0.136924,0,0.111821,"Gene_body_2","Gene_body_2"
"CG15824",0,0.150584,0.229389,0.527042,0,0,0,0.092985,"H1","H1"
"ninaA",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"lncRNA:CR45348",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"Lsp1beta",0.254261,0,0,0.639205,0,0,0,0.106534,"H1","H1"
"snRNA:U1:21D",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"scaRNA:MeU1:95C-A24",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR45261",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR44061",0.324074,0,0,0,0,0,0,0.675926,"Low_signal","Enhancers"
"GluRIIC",0.084431,0,0,0.645335,0,0,0.242001,0.028233,"H1","H1"
"CG4341",0.354001,0,0,0,0,0.050984,0,0.595015,"Low_signal","Enhancers"
"lncRNA:CR44801",0.171772,0,0,0.601202,0,0,0,0.227025,"H1","H1"
"IA-2",0.397051,0,0,0.022684,0,0,0,0.580265,"Low_signal","Enhancers"
"asRNA:CR46486",0.264375,0,0,0,0,0,0,0.735625,"Low_signal","Enhancers"
"CG4375",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4415",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"S",0.416687,0,0,0,0,0.031982,0,0.551331,"Low_signal","Enhancers"
"ast",0,0,0.630473,0,0,0.369527,0,0,"Gene_body_2","Gene_body_2"
"Atg4a",0,0.398299,0.402775,0,0,0.198926,0,0,"Gene_body_2","Gene_body_2"
"CG4629",0.139082,0.041673,0.077268,0.061814,0,0,0,0.680163,"Low_signal","Enhancers"
"PolrMT",0,0.586052,0,0.058605,0,0.175816,0,0.179527,"Gene_body_1","Gene_body_1"
"CG14339",0,0,0,0.287434,0,0,0,0.712566,"Low_signal","H1"
"CG14340",0,0.501253,0,0.299916,0,0,0,0.19883,"Gene_body_1","Gene_body_1"
"Pino",0.209805,0.314707,0.125883,0.041961,0,0.02098,0,0.286663,"Gene_body_1","Gene_body_1"
"TBC1D23",0,0.552827,0.193861,0,0,0.253312,0,0,"Gene_body_1","Gene_body_1"
"Iris",0,0.09513,0,0.849377,0,0,0,0.055493,"H1","H1"
"CG4577",0.403373,0,0,0,0,0,0,0.596627,"Low_signal","Enhancers"
"lncRNA:CR45717",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"MFS3",0.381259,0.214592,0.189557,0,0,0,0,0.214592,"Enhancers","Enhancers"
"l(2)10685",0,0,0,0,0,0.724032,0,0.275968,"Open_promoters","Open_promoters"
"Tfb4",0,0,0,0,0,0.630682,0,0.369318,"Open_promoters","Open_promoters"
"Vps29",0,0,0,0,0,0.635271,0,0.364729,"Open_promoters","Open_promoters"
"capt",0.267618,0,0.227825,0,0,0.136695,0,0.367861,"Low_signal","Enhancers"
"asRNA:CR43767",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Tango14",0,0,0.269403,0,0,0,0,0.730597,"Low_signal","Gene_body_2"
"CG5080",0,0.166852,0.03059,0.302002,0,0,0,0.500556,"Low_signal","H1"
"IntS14",0,0,0,0,0,0.315338,0,0.684662,"Low_signal","Open_promoters"
"CG14341",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Plap",0,0,0.469778,0,0,0.530222,0,0,"Open_promoters","Open_promoters"
"CG31922",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Charon",0,0,0,0,0,0.707602,0,0.292398,"Open_promoters","Open_promoters"
"CG4887",0,0,0.655022,0,0,0.129039,0,0.215939,"Gene_body_2","Gene_body_2"
"CG4896",0,0.566751,0.062972,0.095298,0,0,0,0.274979,"Gene_body_1","Gene_body_1"
"CG5126",0,0,0,0.524086,0,0.475914,0,0,"H1","H1"
"Tgt",0.060012,0.734844,0,0,0,0.205144,0,0,"Gene_body_1","Gene_body_1"
"CG5001",0.420181,0,0,0.162896,0,0,0,0.416923,"Enhancers","Enhancers"
"CG5139",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43348",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43349",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5011",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14342",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR45346",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43263",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG42329",0,0,0,0.27662,0,0,0,0.72338,"Low_signal","H1"
"CG5397",0,0,0,0.402414,0,0,0,0.597586,"Low_signal","H1"
"robo3",0.275841,0,0,0.0224,0,0.029866,0,0.671893,"Low_signal","Enhancers"
"a5",0,0,0,0.832933,0,0,0,0.167067,"H1","H1"
"CG5440",0,0,0,0.629149,0,0,0,0.370851,"H1","H1"
"CG33923",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33922",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Cdlc2",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45005",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45006",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5556",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5561",0,0,0,0.973661,0,0,0,0.026339,"H1","H1"
"CG31924",0,0,0,0.854523,0,0,0,0.145477,"H1","H1"
"CG5565",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31659",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"NLaz",0,0,0,0.453629,0,0,0,0.546371,"Low_signal","H1"
"CG14346",0.857685,0,0,0,0,0,0,0.142315,"Enhancers","Enhancers"
"lncRNA:CR44898",0,0,0.342719,0,0,0,0,0.657281,"Low_signal","Gene_body_2"
"robo2",0.215523,0,0.029727,0.022295,0,0.028563,0,0.703892,"Low_signal","Enhancers"
"asRNA:CR44897",0,0,0.182334,0.567823,0,0,0,0.249842,"H1","H1"
"CG43401",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43402",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31928",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33128",0,0,0,1,0,0,0,0,"H1","H1"
"CG31926",0,0,0,0.255121,0,0,0,0.744879,"Low_signal","H1"
"CG31661",0,0,0,1,0,0,0,0,"H1","H1"
"CG18131",0,0.003716,0,0.996284,0,0,0,0,"H1","H1"
"CG7420",0,0.054717,0.707547,0,0,0.237736,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR44064",0,0.020747,0.444576,0,0,0.17783,0,0.356846,"Gene_body_2","Gene_body_2"
"CG18132",0.007321,0,0,0,0,0,0,0.992679,"Low_signal","Low_signal"
"halo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Or22a",0,0,0,0.846246,0,0,0,0.153754,"H1","H1"
"Or22b",0,0,0,0.384615,0,0,0,0.615385,"Low_signal","H1"
"haf",0.171397,0,0.022116,0.077405,0,0.011058,0,0.718024,"Low_signal","Enhancers"
"nis",0,0,0,0.932285,0,0,0,0.067715,"H1","H1"
"Rab3GAP1",0.036731,0,0.05375,0.110193,0,0,0,0.799327,"Low_signal","Low_signal"
"CG14352",0,0,0,0,0,0.93482,0,0.06518,"Open_promoters","Open_promoters"
"RFeSP",0,0,0,0,0,0.65338,0,0.34662,"Open_promoters","Open_promoters"
"lncRNA:CR44603",0.284399,0,0,0,0,0,0,0.715601,"Low_signal","Enhancers"
"lncRNA:CR45695",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"chinmo",0.18531,0.06177,0.067385,0,0,0,0,0.685535,"Low_signal","Enhancers"
"cpb",0,0,0,0,0,0.290291,0,0.709709,"Low_signal","Open_promoters"
"CG17660",0,0.273639,0.273639,0,0,0.310429,0,0.142292,"Open_promoters","Open_promoters"
"asRNA:CR44976",0,0.439394,0.560606,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"mRpL48",0,0,0,0,0,0.43669,0,0.56331,"Low_signal","Open_promoters"
"frtz",0,0.197846,0,0,0,0.165091,0,0.637063,"Low_signal","Gene_body_1"
"Rim2",0.110511,0.184185,0.110511,0,0,0.145874,0,0.448919,"Low_signal","Gene_body_1"
"Eno",0.479047,0,0,0,0,0.459326,0,0.061627,"Enhancers","Enhancers"
"Rrp40",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG31937",0,0,0.566357,0,0,0.433643,0,0,"Gene_body_2","Gene_body_2"
"CG17652",0,0,0.319728,0,0,0.680272,0,0,"Open_promoters","Open_promoters"
"CG17646",0.082928,0.116099,0.116099,0.14927,0,0,0,0.535604,"Low_signal","H1"
"CG17712",0,0,0,0,0,0.418118,0,0.581882,"Low_signal","Open_promoters"
"CG17648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22f",0.209516,0,0,0,0,0,0,0.790484,"Low_signal","Low_signal"
"CG17650",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22e",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"Gr22d",0,0,0,0.705738,0,0,0,0.294262,"H1","H1"
"Gr22c",0,0,0,0.566335,0,0,0,0.433665,"H1","H1"
"Gr22b",0,0,0,0.634187,0,0,0,0.365813,"H1","H1"
"Gr22a",0,0,0,1,0,0,0,0,"H1","H1"
"CG31933",0,0,0,0.978795,0,0,0,0.021205,"H1","H1"
"CG31664",0.257732,0,0,0.699313,0,0,0,0.042955,"H1","H1"
"c-cup",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"mir-2280",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"wry",0.272579,0,0,0,0,0,0,0.727421,"Low_signal","Enhancers"
"lncRNA:CR44073",0.736318,0,0,0,0,0,0,0.263682,"Enhancers","Enhancers"
"lncRNA:CR44074",0.98916,0,0,0,0,0,0,0.01084,"Enhancers","Enhancers"
"CG31663",0.104936,0,0,0.09969,0,0,0,0.795374,"Low_signal","Low_signal"
"CG7295",0,0,0,0.732303,0,0,0,0.267697,"H1","H1"
"lncRNA:CR44075",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15358",0,0,0,1,0,0,0,0,"H1","H1"
"Wdr62",0.170949,0.020112,0.020112,0.045251,0,0,0.090318,0.653259,"Low_signal","Enhancers"
"tRNA:Gly-GCC-1-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15357",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG33673",0,0,0,0,0,0,1,0,"Pc","Pc"
"erm",0,0,0,0,0,0,1,0,"Pc","Pc"
"tRNA:Arg-TCT-2-1",0,0,0,0,0,0,1,0,"Pc","Pc"
"Der-1",0,0,0,0,0,0.970467,0.029533,0,"Open_promoters","Open_promoters"
"CG15356",0,0,0.566893,0,0,0.206349,0,0.226757,"Gene_body_2","Gene_body_2"
"CG15362",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG7289",0,0.391815,0.006095,0,0,0.60209,0,0,"Open_promoters","Open_promoters"
"Got2",0,0,0.735675,0,0,0,0,0.264325,"Gene_body_2","Gene_body_2"
"Npc2a",0.830769,0,0,0,0,0,0,0.169231,"Enhancers","Enhancers"
"lncRNA:CR42874",0.103878,0,0,0,0,0,0,0.896122,"Low_signal","Low_signal"
"Obp22a",0,0,0,0.590501,0,0,0,0.409499,"H1","H1"
"CG33543",0,0,0,0.39062,0,0.088264,0,0.521116,"Low_signal","H1"
"asRNA:CR43464",0,0,0,0.47511,0,0,0,0.52489,"Low_signal","H1"
"CG15353",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR45712",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nplp4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4238",0.272349,0.043003,0.014334,0.028668,0,0.028668,0,0.612977,"Low_signal","Enhancers"
"tRNA:Gln-CTG-2-4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-3-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-5",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"snoRNA:Or-CD14",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gly-GCC-1-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG42296",0,0,0,0.511073,0,0,0,0.488927,"H1","H1"
"lectin-22C",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Su(dx)",0,0.360469,0.360469,0,0,0,0,0.279063,"Gene_body_1","Gene_body_1"
"lncRNA:CR45298",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Kebab",0,0,0.234375,0,0,0,0,0.765625,"Low_signal","Low_signal"
"Or22c",0.167851,0,0,0,0,0,0,0.832149,"Low_signal","Low_signal"
"dpr3",0.187911,0,0,0,0,0,0,0.812089,"Low_signal","Low_signal"
"CG12674",0.658376,0,0,0,0,0,0,0.341624,"Enhancers","Enhancers"
"lncRNA:CR44808",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44055",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4259",0.150934,0,0,0,0,0,0,0.849066,"Low_signal","Low_signal"
"GlyP",0.694123,0.014808,0,0,0,0.185099,0,0.105969,"Enhancers","Enhancers"
"tho2",0,0.2871,0.34452,0,0,0.138701,0,0.22968,"Gene_body_2","Gene_body_2"
"CG11723",0,0,0,0,0,0.393327,0,0.606673,"Low_signal","Open_promoters"
"TBCD",0,0.361795,0.217077,0,0,0.276411,0,0.144718,"Gene_body_1","Gene_body_1"
